est_res_pop_erp, occ_rt_pr100, vifsa_code, ogc_fid, p_occ_priv_dwl_popd, year, avg_hsld_size
42040,92.9,"VIFSA.24650.30",563,39131,"2021",2.67
56327,95.3,"VIFSA.24970.10",598,54044,"2021",2.63
86566,97.0,"VIFSA.24970.20",603,85217,"2021",2.7
56944,96.0,"VIFSA.24970.30",608,56473,"2021",2.63
44191,95.1,"VIFSA.25060.10",613,43514,"2021",2.53
85698,93.7,"VIFSA.25060.20",618,84851,"2021",2.42
23831,98.4,"VIFSA.25150.10",623,23688,"2021",2.55
6598,86.6,"VIFSA.25150.20",628,6523,"2021",2.39
5703,90.4,"VIFSA.25150.30",633,5682,"2021",2.44
8252,81.1,"VIFSA.25430.20",673,8166,"2021",2.15
6612,69.0,"VIFSA.25620.10",688,6482,"2021",2.13
54170,91.2,"VIFSA.25900.10",723,53030,"2021",2.05
64733,93.2,"VIFSA.25900.20",728,62659,"2021",1.85
74686,91.0,"VIFSA.26350.20",778,73565,"2021",1.97
