tpp_australian_labor_party_percentage, tpp_swing, total_formal_votes, tpp_australian_labor_party_votes, tpp_liberal_national_coalition_percentage, tpp_liberal_national_coalition_votes, division_name, polling_place_name, polling_place_id
59.44,0.23,1965,1168,40.56,797,"Maribyrnong","Keilor Heights","4592"
53.58,0.19,1549,830,46.42,719,"Maribyrnong","Keilor South","4594"
76.34,-6.1,355,271,23.66,84,"Maribyrnong","Kensington (Maribyrnong)","92927"
73.76,-6.34,1677,1237,26.24,440,"Maribyrnong","Maidstone","64267"
66.71,-5.18,1697,1132,33.29,565,"Maribyrnong","Maribyrnong","3692"
84.38,-23.1,96,81,15.63,15,"Maribyrnong","Melbourne (Maribyrnong)","32041"
58.86,4.66,615,362,41.14,253,"Maribyrnong","Melbourne Central MARIBYRNONG PPVC","97514"
68.63,-5.11,1651,1133,31.37,518,"Maribyrnong","Melbourne MARIBYRNONG PPVC","83918"
54.87,-6.31,1243,682,45.13,561,"Maribyrnong","Moonee Ponds Central","4597"
72.45,-5.66,2417,1751,27.55,666,"Maribyrnong","Moonee Ponds West","4599"
54.62,-4.3,1624,887,45.38,737,"Maribyrnong","Niddrie Central","4601"
52.47,-5.95,1639,860,47.53,779,"Maribyrnong","Strathmore","4603"
56.53,0.4,1056,597,43.47,459,"Maribyrnong","Strathmore North (Maribyrnong)","4604"
65.5,8.95,655,429,34.5,226,"Maribyrnong","Sunshine MARIBYRNONG PPVC","92914"
78.75,-6.96,160,126,21.25,34,"Maribyrnong","Tottenham North (Maribyrnong)","92913"
28.57,38.39,7,2,71.43,5,"McEwen","Aitken Creek (McEwen)","92672"
42.88,-9.26,513,220,57.12,293,"McEwen","Arthurs Creek","4309"
58.9,2.9,528,311,41.1,217,"McEwen","Beveridge","4312"
40.34,3.57,352,142,59.66,210,"McEwen","Bolinda","3260"
53.57,5.22,112,60,46.43,52,"McEwen","Broadford (McEwen)","92656"
45.91,4.24,318,146,54.09,172,"McEwen","Bullengarook","3263"
54.73,2.85,243,133,45.27,110,"McEwen","Clonbinane","11891"
60.2,9.54,603,363,39.8,240,"McEwen","Craigieburn MCEWEN PPVC","65865"
47.09,-2.54,223,105,52.91,118,"McEwen","Darraweit Guim","4317"
43.4,-7.84,106,46,56.6,60,"McEwen","Donnybrook","4334"
54.4,0.17,1114,606,45.6,508,"McEwen","Doreen","4318"
62.54,1.75,1132,708,37.46,424,"McEwen","Doreen Central","65896"
55.32,1.79,611,338,44.68,273,"McEwen","Doreen East","82920"
52.7,-1.99,2053,1082,47.3,971,"McEwen","Gisborne","3284"
52.82,-2.29,1098,580,47.18,518,"McEwen","Gisborne South","47803"
63.65,-5.86,1659,1056,36.35,603,"McEwen","Hurstbridge","3385"
58.03,-2.19,467,271,41.97,196,"McEwen","Jacksons Hill","83249"
68.0,-7.04,250,170,32.0,80,"McEwen","Kangaroo Ground (McEwen)","64156"
60.47,0.63,1184,716,39.53,468,"McEwen","Killara","33101"
52.12,2.78,1460,761,47.88,699,"McEwen","Kilmore","4335"
57.69,-1.92,787,454,42.31,333,"McEwen","Kilmore Central","82921"
49.5,0.91,1111,550,50.5,561,"McEwen","Lancefield","3299"
56.15,-0.19,2180,1224,43.85,956,"McEwen","Laurimar","47802"
52.73,3.85,586,309,47.27,277,"McEwen","Laurimar Central","83314"
60.4,-11.39,856,517,39.6,339,"McEwen","Macedon","3302"
67.19,0.51,1774,1192,32.81,582,"McEwen","Mernda (McEwen)","4340"
73.71,-6.56,582,429,26.29,153,"McEwen","Mernda Central (McEwen)","92669"
67.35,-3.53,49,33,32.65,16,"McEwen","Mernda Park (McEwen)","92670"
63.87,2.06,869,555,36.13,314,"McEwen","Mernda South (McEwen)","83324"
55.52,1.21,697,387,44.48,310,"McEwen","Mill Park MCEWEN PPVC","97522"
52.28,-9.62,570,298,47.72,272,"McEwen","Mount Macedon","3313"
78.57,-9.03,14,11,21.43,3,"McEwen","Mount Ridley North (McEwen)","92671"
