tpp_australian_labor_party_percentage, tpp_swing, total_formal_votes, tpp_australian_labor_party_votes, tpp_liberal_national_coalition_percentage, tpp_liberal_national_coalition_votes, division_name, polling_place_name, polling_place_id
42.12,1.46,907,382,57.88,525,"McEwen","Yarrambat","3411"
76.53,-2.65,929,711,23.47,218,"Melbourne","Abbotsford","4610"
68.11,1.82,944,643,31.89,301,"Melbourne","Abbotsford South","82957"
73.68,-9.54,19,14,26.32,5,"Melbourne","Ascot Vale (Melbourne)","93180"
52.38,19.84,21,11,47.62,10,"Melbourne","BLV Melbourne PPVC","65426"
73.88,3.76,245,181,26.12,64,"Melbourne","Brunswick East (Melbourne)","93181"
74.48,-4.36,478,356,25.52,122,"Melbourne","Brunswick South East (Melbourne)","64351"
61.1,-1.18,1216,743,38.9,473,"Melbourne","Burnley","4678"
71.96,6.18,560,403,28.04,157,"Melbourne","Carlton","4621"
77.68,-0.88,2007,1559,22.32,448,"Melbourne","Carlton Central","4622"
74.47,-3.36,1598,1190,25.53,408,"Melbourne","Carlton South","4624"
63.63,-5.63,1339,852,36.37,487,"Melbourne","Citizens Park","83674"
78.82,-1.36,1204,949,21.18,255,"Melbourne","Collingwood","4626"
76.21,-2.75,1139,868,23.79,271,"Melbourne","Collingwood North (Melbourne)","64353"
59.43,-1.51,1915,1138,40.57,777,"Melbourne","Cremorne","4679"
74.44,2.78,1080,804,25.56,276,"Melbourne","Delbridge","4628"
0.0,0.0,0,0,0.0,0,"Melbourne","Divisional Office (PREPOLL)","30219"
52.19,0.03,1623,847,47.81,776,"Melbourne","Docklands","47808"
55.66,-1.79,1511,841,44.34,670,"Melbourne","East Melbourne","4629"
77.81,2.19,1929,1501,22.19,428,"Melbourne","Fitzroy","4631"
81.2,-2.38,1521,1235,18.8,286,"Melbourne","Fitzroy East","33053"
79.02,-1.03,2245,1774,20.98,471,"Melbourne","Fitzroy North","4633"
80.51,-3.35,118,95,19.49,23,"Melbourne","Flemington (Melbourne)","93179"
75.78,1.59,1404,1064,24.22,340,"Melbourne","Hotham Hill","4635"
73.52,-1.67,2115,1555,26.48,560,"Melbourne","Kensington (Melbourne)","4636"
72.88,-1.37,1368,997,27.12,371,"Melbourne","Kensington Central","64658"
60.71,1.13,1980,1202,39.29,778,"Melbourne","Melbourne (Melbourne)","4637"
65.94,-6.17,11442,7545,34.06,3897,"Melbourne","Melbourne MELBOURNE PPVC","14318"
77.85,3.85,1174,914,22.15,260,"Melbourne","Merri (Melbourne)","4638"
73.43,0.03,1532,1125,26.57,407,"Melbourne","Northcote MELBOURNE PPVC","64641"
70.52,-2.38,1340,945,29.48,395,"Melbourne","North Melbourne","4640"
72.74,-0.43,2098,1526,27.26,572,"Melbourne","North Melbourne Central","4641"
70.71,2.58,1260,891,29.29,369,"Melbourne","Parkville","4642"
71.63,-1.15,1678,1202,28.37,476,"Melbourne","Princes Hill","4630"
61.71,-3.4,2178,1344,38.29,834,"Melbourne","Richmond","4677"
61.83,-2.08,1915,1184,38.17,731,"Melbourne","Richmond Central","4643"
64.75,8.52,244,158,35.25,86,"Melbourne","Richmond North","4644"
64.35,17.82,9897,6369,35.65,3528,"Melbourne","Richmond PPVC","97466"
65.9,6.99,393,259,34.1,134,"Melbourne","Richmond West","11893"
60.59,39.41,1058,641,39.41,417,"Melbourne","South Yarra MELBOURNE PPVC","97463"
91.67,-19.17,12,11,8.33,1,"Melbourne","Special Hospital Team 3","4652"
76.54,-9.87,81,62,23.46,19,"Melbourne","Special Hospital Team 5","31964"
57.89,14.84,19,11,42.11,8,"Melbourne","Special Hospital Team 6","31965"
46.15,30.04,26,12,53.85,14,"Melbourne","Special Hospital Team 7","31966"
46.4,-1.2,1459,677,53.6,782,"Menzies","Beverley Hills","4692"
38.46,-38.46,13,5,61.54,8,"Menzies","BLV Menzies PPVC","65422"
45.49,2.81,1840,837,54.51,1003,"Menzies","Bulleen","4694"
40.0,-1.4,40,16,60.0,24,"Menzies","Croydon Hills (Menzies)","3377"
0.0,-63.85,0,0,0.0,0,"Menzies","Divisional Office (PREPOLL)","30220"
45.28,-3.04,901,408,54.72,493,"Menzies","Donburn","4696"
48.39,-4.59,839,406,51.61,433,"Menzies","Doncaster","4697"
47.21,-3.73,1864,880,52.79,984,"Menzies","Doncaster Central","4698"
44.25,1.28,1826,808,55.75,1018,"Menzies","Doncaster East","4699"
36.01,0.64,15528,5591,63.99,9937,"Menzies","Doncaster East PPVC","32953"
44.8,0.35,1049,470,55.2,579,"Menzies","Doncaster Gardens","4715"
41.21,1.35,1194,492,58.79,702,"Menzies","Doncaster Heights","4700"
47.03,-2.42,961,452,52.97,509,"Menzies","Doncaster South","4702"
45.9,-1.44,658,302,54.1,356,"Menzies","Doncaster West","4703"
34.14,-3.11,823,281,65.86,542,"Menzies","Donvale","3383"
58.26,-5.18,2530,1474,41.74,1056,"Menzies","Eltham (Menzies)","4704"
59.69,-6.23,2357,1407,40.31,950,"Menzies","Eltham East","4705"
59.48,-2.16,1081,643,40.52,438,"Menzies","Eltham North (Menzies)","4706"
53.21,-8.05,156,83,46.79,73,"Menzies","Glendale (Menzies)","93236"
50.71,-1.34,4088,2073,49.29,2015,"Menzies","Greensborough MENZIES PPVC","93237"
38.22,0.25,832,318,61.78,514,"Menzies","Gumnut Gully","11875"
39.76,1.13,2246,893,60.24,1353,"Menzies","Heidelberg MENZIES PPVC","65654"
44.79,-4.64,96,43,55.21,53,"Menzies","Kalinda (Menzies)","64394"
41.61,-7.01,584,243,58.39,341,"Menzies","Kangaroo Ground (Menzies)","3387"
46.65,1.02,1389,648,53.35,741,"Menzies","Lower Templestowe","4708"
40.93,0.68,1136,465,59.07,671,"Menzies","Manningham","32894"
42.49,-6.07,1358,577,57.51,781,"Menzies","Milgate","4709"
43.46,-2.04,428,186,56.54,242,"Menzies","Mitcham North (Menzies)","65221"
58.72,-3.57,109,64,41.28,45,"Menzies","Montmorency South (Menzies)","93229"
36.03,-2.67,1424,513,63.97,911,"Menzies","Park Orchards","3396"
49.79,-2.3,2107,1049,50.21,1058,"Menzies","Research","31788"
35.69,-0.19,2746,980,64.31,1766,"Menzies","Ringwood MENZIES PPVC","58638"
36.65,0.55,322,118,63.35,204,"Menzies","Ringwood North (Menzies)","3401"
44.34,5.14,442,196,55.66,246,"Menzies","St Helena (Menzies)","93231"
36.74,0.58,2036,748,63.26,1288,"Menzies","Serpell","4710"
41.56,0.21,1227,510,58.44,717,"Menzies","Templestowe","4711"
46.07,1.24,2698,1243,53.93,1455,"Menzies","Templestowe Heights","4712"
35.6,-0.06,1719,612,64.4,1107,"Menzies","Templestowe Park","4713"
46.0,-1.46,1237,569,54.0,668,"Menzies","Templestowe Valley","4714"
40.42,6.41,240,97,59.58,143,"Menzies","Templestowe West","83724"
40.09,1.04,1267,508,59.91,759,"Menzies","The Pines","11876"
45.86,0.65,1245,571,54.14,674,"Menzies","Tunstall","3404"
52.26,-5.97,1791,936,47.74,855,"Menzies","Warrandyte","3405"
61.27,-4.85,976,598,38.73,378,"Menzies","Warrandyte North","3406"
42.88,-1.97,1952,837,57.12,1115,"Menzies","Warranwood (Menzies)","31844"
32.41,-0.83,1154,374,67.59,780,"Menzies","Wonga Park","3409"
42.65,1.35,1763,752,57.35,1011,"Menzies","Yarraleen","4716"
33.91,2.06,233,79,66.09,154,"Menzies","Yarra Road (Menzies)","93241"
23.76,0.7,202,48,76.24,154,"Monash","Arawata","3716"
47.09,-1.68,327,154,52.91,173,"Monash","Bass","3614"
31.7,-2.54,593,188,68.3,405,"Monash","Bayles","3616"
32.42,-2.73,330,107,67.58,223,"Monash","Bena","3722"
36.35,-4.96,1282,466,63.65,816,"Monash","Bunyip","4385"
51.63,-0.76,736,380,48.37,356,"Monash","Corinella","3622"
57.95,-4.46,1163,674,42.05,489,"Monash","Cowes","3623"
49.67,-4.36,4331,2151,50.33,2180,"Monash","Cowes PPVC","46625"
46.34,-8.33,628,291,53.66,337,"Monash","Cranbourne MONASH PPVC","93025"
44.15,-1.05,2378,1050,55.85,1328,"Monash","Drouin","4391"
42.21,0.47,398,168,57.79,230,"Monash","Drouin Central","83698"
26.27,-2.04,453,119,73.73,334,"Monash","Drouin South","3750"
46.78,-3.76,823,385,53.22,438,"Monash","Drouin Summerhill","64676"
36.0,-2.67,400,144,64.0,256,"Monash","Drouin West","4392"
31.28,2.9,780,244,68.72,536,"Monash","Garfield","4395"
48.71,-1.91,739,360,51.29,379,"Monash","Grantville","3634"
34.65,-4.08,127,44,65.35,83,"Monash","Kernot","32326"
43.47,-5.15,1302,566,56.53,736,"Monash","Kooweerup","3637"
41.19,1.43,1918,790,58.81,1128,"Monash","Korumburra","3777"
29.92,-1.09,254,76,70.08,178,"Monash","Labertouche","4400"
40.88,-6.79,910,372,59.12,538,"Monash","Lang Lang","3639"
38.35,1.08,352,135,61.65,217,"Monash","Loch","3641"
39.98,0.45,908,363,60.02,545,"Monash","Longwarry","4403"
37.05,-3.83,332,123,62.95,209,"Monash","Maryknoll","4890"
37.94,3.75,651,247,62.06,404,"Monash","Nyora","3648"
32.02,12.81,1930,618,67.98,1312,"Monash","Pakenham MONASH PPVC","93057"
39.11,-1.09,514,201,60.89,313,"Monash","Poowong","3650"
44.44,-0.46,351,156,55.56,195,"Monash","Rhyll","3654"
34.35,-4.16,425,146,65.65,279,"Monash","Tynong","4433"
54.28,0.79,1704,925,45.72,779,"Nicholls","Broadford (Nicholls)","4315"
63.49,0.95,1901,1207,36.51,694,"Scullin","Blossom Park","33109"
66.67,-16.67,9,6,33.33,3,"Scullin","BLV Scullin PPVC","65461"
51.16,48.84,346,177,48.84,169,"Scullin","Divisional Office (PREPOLL)","30223"
74.53,-0.05,1280,954,25.47,326,"Scullin","Epping","4321"
74.24,-0.17,1832,1360,25.76,472,"Scullin","Epping East","4322"
76.05,1.64,1411,1073,23.95,338,"Scullin","Epping North","66012"
76.9,2.84,1398,1075,23.1,323,"Scullin","Epping South","11649"
79.85,-3.15,1940,1549,20.15,391,"Scullin","Epping Views","47750"
76.84,-1.05,1140,876,23.16,264,"Scullin","Epping West","83631"
73.68,-1.49,2033,1498,26.32,535,"Scullin","Findon","8899"
66.35,-7.89,1275,846,33.65,429,"Scullin","Greensborough SCULLIN PPVC","97520"
65.98,-5.39,241,159,34.02,82,"Scullin","Grimshaw (Scullin)","93348"
77.5,1.38,1480,1147,22.5,333,"Scullin","Lalor","4855"
79.37,1.34,1658,1316,20.63,342,"Scullin","Lalor East","4856"
82.77,-1.17,894,740,17.23,154,"Scullin","Lalor North","4857"
79.51,1.66,1215,966,20.49,249,"Scullin","Lalor Park","4858"
82.29,-2.07,1468,1208,17.71,260,"Scullin","Lalor South","83689"
79.32,-0.64,1431,1135,20.68,296,"Scullin","Lalor West","4859"
73.8,0.6,1145,845,26.2,300,"Scullin","Meadowglen","31767"
63.33,4.39,150,95,36.67,55,"Scullin","Mernda (Scullin)","93305"
72.38,-5.3,1021,739,27.62,282,"Scullin","Mernda Central (Scullin)","82922"
67.25,-3.3,458,308,32.75,150,"Scullin","Mernda Park (Scullin)","82923"
64.23,1.76,137,88,35.77,49,"Scullin","Mernda South (Scullin)","93340"
71.03,-0.33,1170,831,28.97,339,"Scullin","Mill Park","4345"
71.14,1.18,1982,1410,28.86,572,"Scullin","Mill Park Heights","11890"
69.14,-1.63,2550,1763,30.86,787,"Scullin","Mill Park Lakes","34245"
72.51,-6.7,924,670,27.49,254,"Scullin","Mill Park Lakes East","65491"
72.0,-9.51,10603,7634,28.0,2969,"Scullin","Mill Park SCULLIN PPVC","65680"
66.67,2.11,369,246,33.33,123,"Scullin","Mill Park West","83686"
70.18,-4.92,1992,1398,29.82,594,"Scullin","Norris Bank (Scullin)","4861"
67.26,-3.26,1692,1138,32.74,554,"Scullin","South Morang","4349"
67.04,-3.71,15684,10515,32.96,5169,"Scullin","South Morang SCULLIN PPVC","46761"
69.35,-2.59,1817,1260,30.65,557,"Scullin","The Stables","4365"
81.74,-1.62,772,631,18.26,141,"Scullin","Thomastown","4862"
79.07,0.21,1094,865,20.93,229,"Scullin","Thomastown East","4863"
75.96,3.53,674,512,24.04,162,"Scullin","Thomastown Heights","31768"
83.15,2.71,1353,1125,16.85,228,"Scullin","Thomastown Meadows","4864"
80.72,3.89,1914,1545,19.28,369,"Scullin","Thomastown West","4865"
77.13,-2.1,647,499,22.87,148,"Scullin","Wollert South","83636"
87.96,-5.77,2500,2199,12.04,301,"Wills","Anstey","5086"
91.3,-7.97,23,21,8.7,2,"Wills","BLV Wills PPVC","65462"
83.18,-5.45,1326,1103,16.82,223,"Wills","Brunswick East (Wills)","4616"
85.58,-5.88,2933,2510,14.42,423,"Wills","Brunswick North","5088"
88.32,-2.92,2320,2049,11.68,271,"Wills","Brunswick North East","5089"
83.9,-3.95,1335,1120,16.1,215,"Wills","Brunswick North West","5090"
86.47,-4.69,1397,1208,13.53,189,"Wills","Brunswick South","4617"
87.17,-52.03,1543,1345,12.83,198,"Wills","Brunswick South East (Wills)","4618"
83.92,-4.77,1897,1592,16.08,305,"Wills","Brunswick South West","4619"
83.73,-4.64,1992,1668,16.27,324,"Wills","Coburg","5091"
79.62,-2.82,1310,1043,20.38,267,"Wills","Coburg East","5092"
77.59,-2.15,2088,1620,22.41,468,"Wills","Coburg North","5093"
77.87,-2.62,827,644,22.13,183,"Wills","Coburg South","5094"
77.84,-2.81,2532,1971,22.16,561,"Wills","Coburg West","5096"
69.23,30.77,13,9,30.77,4,"Wills","Divisional Office (PREPOLL)","30225"
68.73,-1.54,4416,3035,31.27,1381,"Wills","Essendon WILLS PPVC","58752"
76.72,-1.6,1508,1157,23.28,351,"Wills","Fawkner East","4846"
77.69,-0.14,1735,1348,22.31,387,"Wills","Fawkner North","4847"
71.26,-0.73,1218,868,28.74,350,"Wills","Gaffney","83805"
76.91,-2.67,1399,1076,23.09,323,"Wills","Glenroy","4848"
74.89,-2.48,689,516,25.11,173,"Wills","Glenroy North","4851"
70.44,-0.2,1546,1089,29.56,457,"Wills","Glenroy West","4591"
69.31,-4.17,10622,7362,30.69,3260,"Wills","Glenroy WILLS PPVC","34056"
72.82,0.74,1413,1029,27.18,384,"Wills","Gowrie Park","4852"
74.15,-5.46,1745,1294,25.85,451,"Wills","Hadfield","4853"
84.37,-11.67,467,394,15.63,73,"Wills","Lake Park (Wills)","5101"
78.57,-6.46,98,77,21.43,21,"Wills","Melbourne (Wills)","32909"
76.15,9.43,671,511,23.85,160,"Wills","Melbourne Central WILLS PPVC","97515"
82.7,-14.64,2676,2213,17.3,463,"Wills","Melbourne WILLS PPVC","83927"
77.45,-7.67,1317,1020,22.55,297,"Wills","Melville","5102"
74.57,-3.59,924,689,25.43,235,"Wills","Merlynston","5103"
87.72,-5.85,114,100,12.28,14,"Wills","Merri (Wills)","93494"
82.88,-5.96,1928,1598,17.12,330,"Wills","Mitchell","5104"
72.5,-1.84,1080,783,27.5,297,"Wills","Moomba Park","4860"
84.26,-3.87,2033,1713,15.74,320,"Wills","Moreland","5105"
75.68,-0.27,259,196,24.32,63,"Wills","Murray (Wills)","5106"
81.09,-1.35,2914,2363,18.91,551,"Wills","Northcote WILLS PPVC","64642"
63.9,-3.96,1662,1062,36.1,600,"Wills","Oak Park","5108"
68.03,-3.66,979,666,31.97,313,"Wills","Pascoe Vale","5109"
69.39,-7.64,771,535,30.61,236,"Wills","Pascoe Vale Central","5110"
72.4,-4.98,2025,1466,27.6,559,"Wills","Pascoe Vale North","5111"
65.27,-6.93,1978,1291,34.73,687,"Wills","Pascoe Vale South","5112"
69.13,-3.91,690,477,30.87,213,"Wills","Pascoe Vale West","5113"
72.89,-15.85,284,207,27.11,77,"Wills","Strathmore North (Wills)","93493"
81.65,-5.57,2093,1709,18.35,384,"Wills","Thornbury WILLS PPVC","82772"
